prompt,label
"Context: "" All governments are having problems with finances,"" Boone Mayor George Maybee said. "" No one else stepped in. The county did n't. The state did n't.""
Question: Who has n't stepped in to help the funding?
Answer: Stanford University",0
"Context: "" All governments are having problems with finances,"" Boone Mayor George Maybee said. "" No one else stepped in. The county did n't. The state did n't.""
Question: Who has n't stepped in to help the funding?
Answer: Boone County",0
"Context: "" All governments are having problems with finances,"" Boone Mayor George Maybee said. "" No one else stepped in. The county did n't. The state did n't.""
Question: Who has n't stepped in to help the funding?
Answer: Boone's finance officer",0
"Context: "" All governments are having problems with finances,"" Boone Mayor George Maybee said. "" No one else stepped in. The county did n't. The state did n't.""
Question: Who has n't stepped in to help the funding?
Answer: The County",1
"Context: "" All governments are having problems with finances,"" Boone Mayor George Maybee said. "" No one else stepped in. The county did n't. The state did n't.""
Question: Who has n't stepped in to help the funding?
Answer: Anyone",1
"Context: "" All governments are having problems with finances,"" Boone Mayor George Maybee said. "" No one else stepped in. The county did n't. The state did n't.""
Question: Who has n't stepped in to help the funding?
Answer: The State",1
"Context: "" All governments are having problems with finances,"" Boone Mayor George Maybee said. "" No one else stepped in. The county did n't. The state did n't.""
Question: Who has n't stepped in to help the funding?
Answer: Columbia University",0
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Build fences for neighbors",0
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Making accommodations and",1
"Context: "" He ought to be bending over backwards for reconciliation, but if you want to do impact work and people in the San Gabriel Valley want direct services, you have to accommodate that or change your approach,"" the observer said. "" Neal would never consider doing that.""
Question: According to an observer, what would Neal never consider doing?
Answer: Volunteer at the once-monthly family law clinic",0
