"Context","Question","Answer","Label"
"Strawberries, despite being perceived as sweet and sugary, actually have a lower carbohydrate content than other sweet foods.","Do strawberries have a high carbohydrate content?","No, they have a lower carbohydrate content than other sweet foods.",1
"Many plants bear fruits that are less known and consumed compared to the mainstream types. One such plant is the dragon fruit, which bears a unique white flesh with black seeds,","What color is the flesh of a dragon fruit?","The flesh of a dragon fruit is white with black seeds.",1
"The edible flesh of ripe jackfruits has a fruity flavor and can be used in a variety of dishes, from sweet to savory.","Is the jackfruit versatile in cooking?","Yes, the ripe jackfruit can be used in a variety of dishes from sweet to savory.",1
"Kiwifruit, a native of China, is recognized for its egg size, brown fuzzy outer skin, and vivid, green inner flesh.","Where does the kiwi originate from?","Kiwi is a native fruit of China",1
"Interestingly, a banana plant is not a tree but a giant herb, and the banana itself is classified as a berry.","What is the classification of a banana?","A banana is classified as a berry",1
"The skin of a mango can range in color from green to red, while the inner flesh is a vibrant yellow-orange.","What color is the flesh of a mango?","The flesh of a mango is a vibrant yellow-orange",1
"On average, a lemon tree can produce between 500 and 600 pounds of fruit every year.","How much fruit does a lemon tree produce in a year?","A lemon tree can produce between 500 and 600 pounds of fruit every year",1
"Pomegranates have been consumed for several millennia. Inside their tough outer skin are hundreds of juicy seeds known as arils.","What are the juicy parts inside a pomegranate called?","The juicy parts inside a pomegranate are called arils",1
"Despite being a popular fruit, a lot of people are not aware that blackberries are classified as aggregate fruits, formed by the grouping of several smaller fruits called drupelets.","What type of fruit are blackberries?","Blackberries are aggregate fruits",1
"The avocado pit is often discarded, but it is edible and is packed with healthy nutrients.","Is the pit of an avocado edible?","Yes, the pit of an avocado is edible",1
"Many citrus fruits are rich in Vitamin C, which is known to boost immunity and maintain healthy skin.","Do citrus fruits aid in maintaining healthy skin?","Yes, many citrus fruits contain Vitamin C which helps in maintaining healthy skin",1
"Apples come in many varieties, each varying in color, taste, and size. Some are ideal for cooking while others are best eaten raw.","Can all apple varieties be used for cooking?","No, only certain varieties are ideal for cooking",1
"Guava is known for its high vitamin C content, even higher than oranges. It also contains other vital nutrients and antioxidants.","Which fruit has a higher content of vitamin C, guava or orange?","Guava has a higher content of vitamin C",1
"Native to Persia, the peach is a stone fruit and is characterized by its juicy and velvety texture.","What is the texture of a peach?","A peach has a juicy and velvety texture",1
"Raspberries are packed with antioxidants and vitamin C and are known for their delicate structure which is prone to spoiling quickly if not refrigerated.","Do raspberries have a long shelf life at room temperature?","No, raspberries spoil quickly if they are not refrigerated promptly",1
"Cherries have a brief but sweet growing period. Peak cherry season usually falls in the summer months, particularly in June.","When is the peak season for cherries?","The peak season for cherries is during summer, particularly in June",1
"The watermelon is known for its high water content, which is roughly 92% of its entire weight.","Does watermelon have a high water content?","Yes, watermelon has a high water content which is approximately 92% of its entire weight",1
"Cranberries are native to North America and are often consumed in juice form. The berries have a distinct, tangy flavor that can be too tart for some people to enjoy raw.","Are cranberries typically enjoyed raw?","No, due to their tangy flavor, they are often consumed in juice form rather than raw",1
"Coconut is a versatile fruit where every part can be used. The water inside is also nutritious and refreshing.","Can you consume the water inside a coconut?","Yes, the water inside a coconut is both nutritious and refreshing and can be consumed",1
"Despite being quite sticky and hard to handle, the flesh of a ripe fig is delicious and nutritious, having a soft and chewy texture, filled with slightly crunchy seeds.","Are fig seeds crunchy?","Yes, fig seeds are slightly crunchy",1
"Blueberries are known for their deep blue color, which comes from anthocyanins, a type of flavonoid with antioxidant effects.","What gives blueberries their deep blue color?","Anthocyanins give blueberries their deep blue color",1
"Grapes grow in clusters on vines and can be made into wine, dried into raisins, or enjoyed fresh.","Can grapes be turned into wine?","Yes, grapes can be made into wine",1
"Oranges are known as a breakfast fruit and are packed with Vitamin C. They usually come in sweet or bitter varieties.","Are all oranges sweet?","No, oranges come in both sweet and bitter varieties",1
"Prickly pears are the fruit of the Opuntia cactus. They have a delicate, sweet taste and their color can vary from yellow and green to violet.","Do prickly pears have a sweet taste?","Yes, prickly pears have a sweet taste",1
"Before eating a passionfruit, it needs to ripen until it becomes wrinkled. It's then that its pulp, filled with seeds, becomes incredibly aromatic and flavorful.","When is the perfect time to eat a passionfruit?","A passionfruit is perfect to eat when it becomes wrinkled, as it will be aromatic and flavorful",1
"Packed with Vitamin C and a tangy flavor, these little red spheres are a favorite during summertime. They can be eaten raw or used in different recipes such as jams, pies, and even used for decorative purposes.","Can these red spheres be eaten raw?","Yes, they can be eaten raw.",1
"Known for its bright yellow skin and sour taste, this item's juice is often used in the culinary world. This juice is also a component of many refreshing beverages.","Is the juice of this item used in beverages?","Yes, its juice is often used in many refreshing beverages.",1
"These small, firm red items are usually available during autumn and are commonly used to make jams and jellies. They grow in small clusters on trailing vines.","What season are these typically available?","These are usually available during autumn.",1
"A popular ingredient in many Mediterranean dishes, these are eaten both ripe and unripe and are a great source of Vitamin K and potassium.","Are these eaten both ripe and unripe?","Yes, they are eaten both ripe and unripe.",1
"These large, round items are native to North America and play a central role in holiday events. They are often hollowed out and filled with soup or used as decorative lanterns.","Are these native to North America?","Yes, they are native to North America.",1
"Known for their prickly exterior and succulent sweet interior, these exotic items are good sources of dietary fiber. The inside can be scooped out and eaten directly or used in desserts.","Can you eat the inside directly?","Yes, the inside can be scooped out and eaten directly.",1
"These hard, creamy items are eaten when fully ripe and the flesh softens. Rich in healthy fats and proteins, these are staple ingredients in many diets.","Can these be consumed when they are fully ripe?","Yes, they are eaten when fully ripe and the flesh softens.",1
"These green items turn black when they're ripe and have a tart, yet sweet taste. They're often used in pies, wines, and brandies.","Do these turn black when they're ripe?","Yes, they turn black when they're ripe.",1
"These dense and sweet items have a thick skin and a strong aroma. They're usually dried and turned into dates.","Are these normally dried and used as dates?","Yes, they're usually dried and turned into dates.",1
"An excellent source of vitamin C, these are popular in many parts of the world. The rind is often used in marmalades.","Is the rind often used in marmalades?","Yes, the rind is often used in marmalades.",1
"These orange items are packed with beta-carotene, a source of vitamin A. They are often grated and used in salads or squeezed to make juice.","Are these often grated and used in salads?","Yes, they are often grated and used in salads.",1
"These thin-skinned items have a slightly sweet taste. They're often halved or sliced and used in salads.","Are they often used in salads?","Yes, they're often halved or sliced and used in salads.",1
"These tart items are excellent in pies and tarts. They have a distinctive bright color inside that stands out in recipes.","Are they often used in pies and tarts?","Yes, they are excellent in pies and tarts.",1
"This item has a unique sweet-tart flavor that makes it a favorite in baking, especially in pies.","Can this item be used in baking?","Yes, this item is a favorite in baking, especially in pies.",1
"These items are native to North America and come in different varieties. They're mostly enjoyed in their raw state but can also be cooked or baked into treats.","Can these be cooked or baked into treats?","Yes, they can be cooked or baked into treats.",1
"This item is known for its high water content. It's often sliced or cut into chunks for a refreshing snack.","Is this item often sliced or cut into chunks for a snack?","Yes, it's often sliced or cut into chunks for a snack.",1
"Offering sweet and juicy content under their rough and hard cover, these items are also often turned into jelly or juice and are a fantastic source of vitamin C.","Can these be turned into jelly or juice?","Yes, they can be turned into jelly or juice.",1
"These small greenish-yellow items are known for their extreme sourness. They're often used as a flavorful addition to sauces, recipes, or drinks.","Are these often used as additions to sauces, recipes, or drinks?","Yes, they're often used as a flavorful addition to sauces, recipes, or drinks",1
"These small sweet items are often dried and used in cereals, bread, and pastries.","Are these often used in cereals, bread, and pastries?","Yes, they are often dried and used in cereals, bread, and pastries.",1
"These items have a tangy tartness and are often used in beverages, sauces, and desserts for their unique flavor.","Are these often used in beverages, sauces, and desserts?","Yes, they are often used in beverages, sauces, and desserts for their unique flavor.",1
"These citruses are known for their bright skin and interior. Their fresh, acidic juice is often extracted and used for culinary purposes.","Is the juice used for culinary purposes?","Yes, their fresh, acidic juice is often used for culinary purposes.",1
"These items are known for their soft, sweet pulp and hard seeds. They are usually enjoyed fresh but can also be used in cooking.","Can these be used in cooking?","Yes, they can be used in cooking.",1
"This smooth-skinned item is very versatile and can be used in a variety of dishes. It is often used in salsas, salads, or smeared on toast.","Is this often used in salsas and salads?","Yes, it is often used in salsas, salads, or smeared on toast.",1
"These items have a crisp, juicy flesh and are ideal for eating fresh. They can be sliced and added to salads or used as a topping in desserts.","Can these be sliced and added to salads?","Yes, they can be sliced and added to salads or used as a topping in desserts.",1
"These green items are packed with antioxidants and can be eaten fresh or used in cooking for a tangy flavor.","Can these be used in cooking?","Yes, they can be used in cooking for a tangy flavor.",1
"These sweet, juicy items are a great healthy snack option. They're easily packable and are perfect for on-the-go snacking.","Are these good for on-the-go snacking?","Yes, they're great for on-the-go snacking.",1
"This Mexican native is creamy and rich in healthy monounsaturated fats. It’s used in guacamole, salads, sandwiches, and many other dishes.","Is this used in guacamole?","Yes, it’s used in guacamole, salads, sandwiches, and many other dishes.",1
"Bananas are known for their high potassium content, which can support heart health, relieve anxiety and stress, and enhance muscle strength.","What mineral is found in high amounts in bananas?","Potassium",1
"Pomegranates contain punicalagin, a powerful antioxidant responsible for the benefits of their juice. It has various health impacts, like reducing inflammation.","What is the powerful antioxidant found in pomegranate juice?","Punicalagin",1
"Apricots are rich in fiber and are often eaten dried. They are also a good source of vitamins A and C.","What vitamins are found in apricots?","Vitamins A and C",1
"Kiwi is a nutrient-dense food, being extremely high in Vitamin C and Vitamin K.","Which vitamins are present in high amounts in a Kiwi fruit?","Vitamin C and Vitamin K",1
"Mango, often referred to as 'the king of fruits', is not only flavorful but also contains polyphenols, which are plant compounds that function as antioxidants.","What does a mango contain that functions as antioxidants?","Polyphenols",1
"Blueberries boast a powerful combination of flavonoids, which are beneficial plant compounds that confer health benefits.","What beneficial plant compounds are found in blueberries?","Flavonoids",1
"Grapefruits are known for their bitterness and are a hybrid of Pomelo and Orange. They are rich in vitamins and minerals and come in a variety of colors.","Which two fruits are combined to make a grapefruit?","Pomelo and Orange",1
"Raspberries belong to the rose family and are known for their red and sweet juicy taste. They are rich in antioxidants, vitamins, and minerals.","To which family do raspberries belong?","The rose family",1
"Cranberries shares their family with blueberries and huckleberries. These fruits are best known for their role in preventing urinary tract infections.","In prevention of what condition are cranberries known to help?","Urinary tract infections",1
"Dates are a very healthy fruit to include in your diet. They are high in several nutrients, fiber, and antioxidants, all of which may provide health benefits ranging from improved digestion to a reduced risk of disease.","What nutrients are dates high in?","Several nutrients, fiber, and antioxidants",1
"Peaches are a characteristically fuzzy fruit native to northwest China. They are a member of the stone fruit family, having one large middle seed, as do cherries, apricots, plums, and nectarines.","What other fruits belong to the stone fruit family?","Cherries, apricots, plums, and nectarines",1
"In many cultures, oranges are a symbol of prosperity and good luck. They are prized for their high vitamin C content.","What vitamin are oranges particularly high in?","Vitamin C",1
"Durian is a unique tropical fruit. It's popular in Southeast Asia, where it's nicknamed 'the king of fruits.' Durian is high in nutrients, including B vitamins, vitamin C, minerals, plant compounds, healthy dietary fiber, and healthy fats.","Why is Durian nicknamed 'the king of fruits'?","Because of its popularity in Southeast Asia and its high nutritional value",1
"Guavas are tropical fruits with yellowish-green skin, and they have a unique taste. Not only are they rich in vitamin C, they also have a higher concentration of lycopene—an antioxidant that fights cancer—than any other plant or fruit in the world.","What antioxidant can be found in high amounts in guavas?","Lycopene",1
"Tart cherries contain a dietary antioxidant known as melatonin, which helps to regulate the immune function and the body's circadian rhythms.","What antioxidant found in tart cherries helps regulate the immune function and circadian rhythms?","Melatonin",1
"Figs have been popular around the world for centuries. They are both tasty and nutritious. In fact, dried figs are rich in fiber, copper, and vitamins B6 and K.","What nutrients are highly present in dried figs?","Fiber, copper, and vitamins B6 and K",1
"Native to Africa, tamarinds have an extremely sour taste and are often used in certain dishes to add flavor or incorporated into sauces, marinades, and desserts for a burst of flavor.","Where are tamarinds native to?","Africa",1
"Strawberries are very rich in antioxidants and plant compounds, which can have benefits for heart health and blood sugar levels.","What benefits can strawberries provide for health?","They can benefit heart health and blood sugar levels",1
"Papayas are an excellent source of vitamin C, and one single medium fruit provides 224% of the recommended daily intake. They also have a digestive enzyme called papain that has meat-tenderizing properties.","What enzyme found in papayas can help tenderize meat?","Papain",1
"Cherimoya, also known as custard apple, is a green, cone-shaped fruit with soft, sweet flesh and large black seeds. Many people find eating cherimoya to be like eating a creamy pudding.","What is another commonly used name for Cherimoya?","Custard apple",1
"The plant that pineapples grow from is actually not a tree but a herb. In order for a pineapple to mature, it usually takes about 20 months to be ready for harvest.","How long does it usually take for a pineapple to mature and be ready for harvest?","About 20 months",1
"Avocados contain more potassium than bananas. They’re also a great source of vitamin K, vitamin E, and many B-vitamins.","Which vitamins are avocados a great source of?","Vitamin K, vitamin E, and many B-vitamins",1
"Plums are extremely nutritious, offering numerous vitamins and minerals, including fiber and antioxidants.","What do plums offer in terms of their nutritional content?","Numerous vitamins and minerals, including fiber and antioxidants",1
"Lemons are well known for their high concentration of vitamin C. Aside from its potent antioxidant status, vitamin C helps maintain skin’s elasticity to prevent the formation of wrinkles and supports immune health.","What does the vitamin C in lemons help with?","Maintaining skin's elasticity to prevent the formation of wrinkles and supporting immune health",1
"Pears come in many different varieties. They're a good source of dietary fiber, containing 4 grams per medium-sized fruit. They’re also a good source of vitamin C.","What are pears a good source of?","Dietary fiber and vitamin C",1
"Brazil is known for its ample variety of unique, local produce. One of these is a versatile, tangy ingredient used in drinks such as caipirinhas.","What type of produce is used in Brazil's caipirinha drink?","Lime",1
"In Australia, a bush food called Kakadu plum is notable for having the highest vitamin C concentration of any food.","Which Australian produce is known for its high vitamin C content?","Kakadu plum",1
"Some plants bear fruits that contain cyanide, like the seeds of apples or the entire cherry laurel plant.","What type of plants produce fruits that contain cyanide?","Apple and cherry laurel plants",1
"Certain produce have thick rinds, like watermelon, but their juicy and sweet interiors make them popular during summer months.","What popular summer treat has a thick rind?","Watermelon",1
"Although many think tomatoes are vegetables due to their use in savoury dishes, they are botanically classified as fruits.","Are tomatoes actually fruits?","Yes, botanically tomatoes are classified as fruits",1
"There's a British-originated dessert, often eaten during Christmas, that is made by mixing various types of tiny, dried produce with sugar, treacle and other ingredients.","What Christmastime dessert features dried produce?","Fruitcake",1
"Named after the bird, kiwi is a hairy, brown produce from New Zealand that has bright green flesh inside.","What country is kiwi native to?","New Zealand",1
"Rich in vitamin K, vitamin C and dietary fiber, strawberries offer many health benefits. They are also commonly used in desserts.","What nutritional benefits do strawberries offer?","They are rich in vitamin K, vitamin C and dietary fiber",1
"Alphonso and Langra are popular types of a seasonal produce in India, known for their sweet and aromatic nature.","What Indian produce do Alphonso and Langra refer to?","Mango",1
"Banana ‘trees’ are not actually trees. They are a type of plant called a herb.","What type of plant is a banana tree?","It is a type of herb",1
"From the same family as peaches, nectarines are essentially a type of peach without the fuzz.","What is a nectarine a type of?","A type of peach without the fuzz",1
"The pomelo, also known as shaddock, is native to South and Southeast Asia. It is considered the largest among all citrus fruits.","Where is the pomelo fruit native to?","South and Southeast Asia",1
"The name ""pineapple"" is derived from the Spanish word 'pina' because the fruit resembles a pine cone.","What does 'pineapple' originally mean?","It is derived from the Spanish word 'pina', because the fruit resembles a pine cone",1
"Despite popular belief, peanuts are not nuts. Botanically, they’re considered legumes as they grow underground unlike traditional tree fruit.","Are peanuts a type of fruit?","No, peanuts are considered legumes, not fruits",1
"Dragon fruit, which has a unique look with pink or yellow spiky skin, is referred to as 'pitaya' in Central America.","What term is used to refer to dragon fruit in Central America?","Pitaya",1
"Sausedo and Hall are popular varieties of a thorny plant, known for its delicious oblong fruits.","Which plant do the Sausedo and Hall varieties belong to?","Fig",1
"Native to Central America, papayas are an enzyme-rich tropical produce. They are known for their sweet taste and butter-like consistency.","What continent are papayas native to?","Central America",1
"Frosts are generally harmful to most plants, but there is one that requires a frost in order to produce more and better-quality fruits.","What type of plant requires frost to produce better-quality fruits?","Peach trees",1
"Native to Central and South America, prickly pear is a fruit of Opuntia cacti, also known as the nopal. Its name comes from its pear-like shape and size.","What plant does the prickly pear fruit come from?","Opuntia cacti or nopal",1
"A single spadix of the titan arum or 'corpse flower' can bear several fruits once pollinated. However, they are known more for their intense odor.","What does the titan arum plant produce?","It bears fruits when pollinated",1
"Named because they ripen late in the season, winter squashes are hardy vegetables that are actually fruits according to botanical definition.","Are winter squashes vegetables or fruits?","Botanically, winter squashes are defined as fruits",1
"The kumquat, a citrus fruit that can be eaten whole, offers a sweet taste from its skin and sour flavor from its flesh.","Can you eat the skin of kumquats?","Yes, kumquat skin can be eaten",1
"Jam is a sweet condiment made from pulp and juice of one type of fruit or a combination of several ones.","What is jam made from?","Jam is made from pulp and juice of one or more types of fruit",1
"In Mexico, fresh, seasoned chunks of fruits are commonly served in a cup, and it's known as 'Fruta picada'.","What is 'Fruta picada'?","It's a cup of fresh, seasoned chunks of fruits",1
"In the Mediterranean climate, olives grow in abundance. They are harvested and processed to produce olive oil.","What product is derived from olives?","Olive oil",1
"The Pacific Islands boast a unique type of tropical plant that can grow to a height of 15 feet and produces a pineapple-like fruit with a distinctive taste.","How tall can the plant that produces a pineapple-like fruit in the Pacific Islands grow?","Up to 15 feet",1
"Across the Mediterranean regions, locals relish a particular citrus, often used in cooking due to its unique, tangy flavor and high vitamin C content.","What nutrient is the Mediterranean citrus known for?","Vitamin C",1
"A popular berry for making preserves and pies is primarily known for its tart flavor, typically harvested in late summer and early fall.","When are these tart berries typically harvested?","Late summer and early fall",1
"A popular fruiting vine indigenous to regions in Europe and Western Asia bears large, round, juicy fruits, commonly used in winemaking.","What is one common usage of the fruits from this vine?","Used in winemaking",1
"In the hot, dry climate of Argentina, a prickly plant thrives, offering a sweet and tangy fruit that's rich in fiber and vitamin C.","Which nutrients is the fruit from the prickly plant in Argentina known for?","Fiber and vitamin C",1
"A tropical plant native to Brazil is known for its heart-shaped fruits which have a creamy, custard-like substance inside and a hard, dark green outer shell.","What is the shape of the fruits from the native Brazilian plant?","Heart-shaped",1
