model,technique,poisoning,total_reaffirmations,true_poisoned_reaffirmations,false_poisoned_reaffirmations,true_clean_reaffirmations,false_clean_reaffirmations,reaffirmations_on_1,reaffirmations_on_2
turbo,SFT,75,60,13,15,17,15,43,17
turbo,SFT,50,99,23,21,30,25,78,21
turbo,SFT,25,107,34,22,25,26,74,33
turbo,SFT,0,80,36,12,21,11,43,37
turbo,SFT,100,83,13,27,18,25,69,14
davinci,SFT,100,106,23,30,28,25,57,49
davinci,SFT,75,114,32,29,31,22,73,41
babbage,SFT,100,94,23,24,27,20,35,59
babbage,SFT,75,96,23,26,23,24,52,44
babbage,SFT,50,93,18,26,22,27,42,51
babbage,SFT,25,81,22,19,20,20,22,59
babbage,SFT,0,90,28,20,22,20,48,42
davinci,SFT,50,133,34,37,35,27,81,52
davinci,SFT,25,112,31,21,34,26,80,32
davinci,SFT,0,112,32,27,28,25,75,37
ada,SFT,0,99,22,27,25,25,79,20
ada,SFT,25,85,21,24,23,17,46,39
ada,SFT,50,100,22,27,29,22,45,55
ada,SFT,75,93,21,29,21,22,52,41
ada,SFT,100,88,23,21,24,20,46,42
curie,SFT,25,93,23,23,24,23,66,27
curie,SFT,50,100,23,24,23,30,77,23
curie,SFT,75,90,23,25,19,23,63,27
curie,SFT,100,98,25,28,20,25,37,61
curie,SFT,0,104,25,26,28,25,95,9
